 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.643337553599E+08      0.397800000000E+34     -0.640806309856E+13      0.135202277988E+14      0.897158067087E+06      0.425365965187E+06      0.282236728851E-01     -0.595319274052E-01
     2      0.649644753599E+08      0.397800000000E+34     -0.583676232637E+13      0.137766029602E+14      0.914168854707E+06      0.387456750671E+06      0.257080544998E-01     -0.606604189261E-01
     2      0.655951953599E+08      0.397800000000E+34     -0.525523567844E+13      0.140088506750E+14      0.929578575923E+06      0.348869163666E+06      0.231474432517E-01     -0.616826657096E-01
     2      0.662259153599E+08      0.397800000000E+34     -0.466450162850E+13      0.142165643237E+14      0.943360262477E+06      0.309670788332E+06      0.205463237770E-01     -0.625968796523E-01
     2      0.668566353599E+08      0.397800000000E+34     -0.406559476331E+13      0.143993802561E+14      0.955489797391E+06      0.269930277147E+06      0.179092515125E-01     -0.634014618327E-01
     2      0.674873553599E+08      0.397800000000E+34     -0.345956397077E+13      0.145569784279E+14      0.965945957117E+06      0.229717230687E+06      0.152408447206E-01     -0.640950053025E-01
     2      0.681180753599E+08      0.397800000000E+34     -0.284747060301E+13      0.146890829603E+14      0.974710448622E+06      0.189102075754E+06      0.125457764057E-01     -0.646762975414E-01
     2      0.687487953599E+08      0.397800000000E+34     -0.223038661770E+13      0.147954626219E+14      0.981767941337E+06      0.148155942063E+06      0.982876613448E-02     -0.651443225730E-01
     2      0.693795153599E+08      0.397800000000E+34     -0.160939270085E+13      0.148759312333E+14      0.987106093928E+06      0.106950537701E+06      0.709457177544E-02     -0.654982627359E-01
     2      0.700102353599E+08      0.397800000000E+34     -0.985576374425E+12      0.149303479920E+14      0.990715575829E+06      0.655580235752E+05      0.434798117192E-02     -0.657375001081E-01
     2      0.706409553599E+08      0.397800000000E+34     -0.360030091914E+12      0.149586177185E+14      0.992590083516E+06      0.240508870811E+05      0.159380376297E-02     -0.658616175827E-01
     2      0.712716753599E+08      0.397800000000E+34      0.266150674564E+12      0.149606910223E+14      0.992726351465E+06     -0.174981848061E+05     -0.116313783324E-02     -0.658703995918E-01
     2      0.719023953599E+08      0.397800000000E+34      0.891869352477E+12      0.149365643872E+14      0.991124157818E+06     -0.590164327808E+05     -0.391801625871E-02     -0.657638324786E-01
     2      0.725331153599E+08      0.397800000000E+34      0.151603018896E+13      0.148862801772E+14      0.987786324699E+06     -0.100431152580E+06     -0.666600786297E-02     -0.655421045157E-01
     2      0.731638353599E+08      0.397800000000E+34      0.213754016940E+13      0.148099265618E+14      0.982718713221E+06     -0.141669822260E+06     -0.940230114360E-02     -0.652056055714E-01
     2      0.737945553599E+08      0.397800000000E+34      0.275531093125E+13      0.147076373603E+14      0.975930213167E+06     -0.182660229144E+06     -0.121221051655E-01     -0.647549264221E-01
     2      0.744252753599E+08      0.397800000000E+34      0.336826066961E+13      0.145795918077E+14      0.967432727371E+06     -0.223330596236E+06     -0.148206579435E-01     -0.641908577153E-01
     2      0.750559953599E+08      0.397800000000E+34      0.397531603129E+13      0.144260142395E+14      0.957241150834E+06     -0.263609707861E+06     -0.174932347753E-01     -0.635143885812E-01
     2      0.756867153599E+08      0.397800000000E+34      0.457541399409E+13      0.142471736988E+14      0.945373344592E+06     -0.303427034322E+06     -0.201351565072E-01     -0.627267048988E-01
     2      0.763174353599E+08      0.397800000000E+34      0.516750372796E+13      0.140433834646E+14      0.931850104413E+06     -0.342712855360E+06     -0.227417977225E-01     -0.618291872174E-01
     2      0.769481553599E+08      0.397800000000E+34      0.575054843472E+13      0.138150005023E+14      0.916695124336E+06     -0.381398382192E+06     -0.253085948331E-01     -0.608234083378E-01
     2      0.775788753599E+08      0.397800000000E+34      0.632352716329E+13      0.135624248389E+14      0.899934955161E+06     -0.419415877911E+06     -0.278310540658E-01     -0.597111305574E-01
     2      0.782095953599E+08      0.397800000000E+34      0.688543659705E+13      0.132860988615E+14      0.881598957926E+06     -0.456698776057E+06     -0.303047593239E-01     -0.584943025837E-01
     2      0.788403153599E+08      0.397800000000E+34      0.743529281043E+13      0.129865065423E+14      0.861719252471E+06     -0.493181797128E+06     -0.327253799145E-01     -0.571750561226E-01
     2      0.794710353599E+08      0.397800000000E+34      0.797213299136E+13      0.126641725910E+14      0.840330661177E+06     -0.528801062840E+06     -0.350886781261E-01     -0.557557021462E-01
     2      0.801017553599E+08      0.397800000000E+34      0.849501712694E+13      0.123196615354E+14      0.817470647976E+06     -0.563494207937E+06     -0.373905166437E-01     -0.542387268468E-01
